word|origins|part_of_speech|pronunciation|meaning
dinero|Spanish, ‘coin, money’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/dinero--_gb_1.8.mp3|money.
intermezzo|late 18th century: from Italian, from Latin intermedium ‘interval’, neuter of intermedius (see intermediate).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/intermezzo--_gb_1.mp3|a short connecting instrumental movement in an opera or other musical work.
ermine|Middle English: from Old French hermine, probably from medieval Latin (mus) Armenius ‘Armenian (mouse)’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/ermine--_gb_1.mp3|a stoat, especially when in its white winter coat.;a stout-bodied moth that has cream or white wings with black spots.
caramel|early 18th century: from French, from Spanish caramelo .|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/caramel--_gb_3.mp3|sugar or syrup heated until it turns brown, used as a flavouring or colouring for food or drink or combined with butter or cream to form a thick, sweet sauce.
forensics|mid 17th century: from Latin forensis ‘in open court, public’, from forum (see forum).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/forensic--_gb_1.mp3|scientific tests or techniques used in connection with the detection of crime.
infirm|late Middle English (in the general sense ‘weak, frail’): from Latin infirmus, from in- ‘not’ + firmus ‘firm’.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/infirm--_gb_1.mp3|not physically or mentally strong, especially through age or illness.
hover|late Middle English: from archaic hove  ‘hover, linger’, of unknown origin.|verb;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/hover--_gb_1.mp3|remain in one place in the air.
scanner|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/scanner_us_1.mp3|a device for examining, reading, or monitoring something.
velamen|late 19th century: from Latin, from velare ‘to cover’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/velamen--_gb_1.mp3|an outer layer of empty cells in the aerial roots of epiphytic orchids and aroids.
mangonel|Middle English: from Old French mangonel(le ), from medieval Latin manganellus, diminutive of late Latin manganum, from Greek manganon ‘axis, engine of war’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/mangonel--_gb_1.8.mp3|a military device for throwing stones and other missiles.
cumbersome|late Middle English (in the sense ‘difficult to get through’): from cumber + -some1.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/cumbersome--_gb_1.mp3|large or heavy and therefore difficult to carry or use; unwieldy.
migraine|late Middle English: from French, via late Latin from Greek hēmikrania, from hēmi- ‘half’ + kranion ‘skull’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/migraine--_gb_1.mp3|a recurrent throbbing headache that typically affects one side of the head and is often accompanied by nausea and disturbed vision.
